Simptoma,pesha
kruarje,1
Skuqja_e_lëkurës,3
shpërthimete_lëkurës_nyjore,4
teshtitje_e_vazhdueshme,4
dridhje,5
të_dridhura,3
dhimbje_nyjesh,3
dhimbje_barku,5
aciditeti,3
ulçera_në_gjuhë,4
humbje_muskujsh,3
të_vjella,5
djegie_miktruimi,6
njolla_urinimi,6
lodhje,4
shtim_peshe,3
ankthi,4
duart_dhe_këmbët_e_ftohta,5
ndryshimet_e_humorit,3
humbje_peshe,3
shqetësim,5
letargji,2
arna_në_fyt,6
Niveli_i_parregullt_i_sheqerit,5
kollë,4
temperaturë_e_lartë,7
sytë_mbytur,3
gulçim,4
djersitje,3
dehidratim,4
dispepsi,5
dhimbje_koke,3
lëkura_e_kuqe,3
urina_e_errët,4
nauze,5
humbja_e_oreksit,4
dhimbje_pas_syve,4
dhimbja_e_shpinës,3
kapsllëk,4
dhimbje_barku,4
diarre,6
ethe_të_lehta,5
urina_e_verdhë,4
zverdhja_e_syve,4
dështimi_akut_i_mëlçisë,6
lëngu_mbingarkues,6
ënjtja_e_stomakut,7
nyjet_limfatikët_e_fryrë,6
sëmundje,6
vizion_turbullt_dhe_i_shtrembëruar,5
gëlbazë,5
acarim_fyti,4
skuqje_e_syve,5
presioni_i_sinusit,4
rrjedhje_e_hundës,5
mbingarkesë,5
dhimbje_gjoksi,7
dobësi_në_gjymtyrë,7
rrahje_të_shpejta_të_zemrës,5
dhimbje_gjatë_lëvizjeve_të_zorrëve,5
dhimbje_në_rajonin_anal,6
jashtëqitje_e_përgjakshme,5
acarim_në_anus,6
Dhimbja_e_qafës,5
marramendje,4
ngërçe,4
mavijosje,4
obeziteti,4
këmbë_të_fryra,5
enë_të_fryra_të_gjakut,5
Fytyra_dhe_sy_të_fryrë,5
tiroidë_e_zmadhuar,6
thonjtë_e_brishtë,5
ekstremitetet_e_fryra,5
urinë_e_tepruar,4
kontaktet_ekstra_martesore,5
tharje_dhe_dridhje_buzesh,4
të_folurit_të_paqartë,4
dhimbje_gjuri,3
Dhimbja_e_nyjeve_të_kofshës,2
dobësi_muskulare,2
qafa_e_ngurtë,4
ënjtje_nyjesh,5
Lëvizja_ngurtësi,5
rrotullime_lëvizjesh,6
humbja_e_ekuilibrit,4
paqëndrueshmëri,4
dobësi_e_një_anës_trupore,4
humbja_e_eres,3
shqetësimi_i_fshikëzës,4
Furinë_me_erë_të_keqe,5
Ndjenja_e_vazhdueshme_e_urinës,6
kalimi_e_gazeve,5
kruarje_e_brendshme,4
look_toksik_(tifos),5
depresioni,3
nervozizëm,2
dhimbje_muskulore,2
altered_sensorium,2
njollat_e_kuqe_mbi_trup,3
dhimbje_barku,4
menstruacione_jo_normale,6
arna_diskromatike,6
lotim_nga_sytë,4
oreksi_i_shtuar,5
poliuria,4
probleme_gjenetike,5
mukoide_sputum,4
pështymë_e_ndryshkur,4
mungesë_përqendrimi,3
shqetësimet_vizuale,3
marrja_e_transfuzionit_të_gjakut,5
marrja_injeksione_josterile,2
koma,7
gjakderdhje_në_stomak,6
zgjerimi_i_barkut,4
historia_e_konsumimit_të_alkoolit,5
lëngu_mbingarkues,4
gjak_në_sputum,5
venat_e_shqara_në_viç,6
palpitacione,4
ecje_e_dhimbshme,2
puçrrat_e_mbushura_me_qelb,2
pika_te_zeza,2
lëkundje,2
lëkurë_lëkure,3
pluhuri_si_argjendi,2
dhëmbëzat_e_vogla_në_thonj,2
thonjtë_inflamator,2
flluskë,4
plagë_kuqe_rreth_hundës,2
kore_everdhë,3
prognoza,5