Sëmundje,Diet
Infeksion mykotik, "['Dietë antifungale' 'Probiotikë' 'Hudhë' 'Vaj kokosi' 'Turkuma']"
Alergji, "['Dietë eliminuese' 'Ushqime të pasura me omega-3' 'Ushqime të pasura me vitaminë C' 'Ushqime të pasura me quercetinë' 'Probiotikë']"
GERD, "['Dietë me acide të ulëta' 'Ushqime të pasura me fibra' 'Xhenxhefil' 'Jamball' 'Lëng Aloe Vera']"
Kolestaza kronike, "['Dietë me pak yndyrë' 'Dietë me fibra të lartë' 'Proteina të ligëta' 'Drura integrale' 'Fruta dhe perime të freskëta']"
Reagim i drogës, "['Dietë antihistaminike' 'Ushqime të pasura me omega-3' 'Ushqime të pasura me vitaminë C' 'Ushqime të pasura me quercetinë' 'Probiotikë']"
Sëmundja e ulçerës peptike, "['Dietë me acide të ulëta' 'Ushqime të pasura me fibra' 'Xhenxhefil' 'Jamball' 'Lëng aloevera']"
SIDA, "['Dietë e ekuilibruar' 'Ushqime të pasura me proteina' 'Fruta dhe perime' 'Drura integrale' 'Yndyrna të shëndetshme']"
Diabeti, "['Dietë me gliceminë të ulët' 'Ushqime të pasura me fibra' 'Proteina pa yndyrë' 'Yndyrna të shëndetshme' 'Bumështorë me pak yndyrë']"
Gastroenteriti, "['Dietë e butë' 'Banane' 'Oriz' 'Lasë mollë' 'Dolli']"
Astma bronkiale, "['Dietë anti-inflamatore' 'Ushqime të pasura me omega-3' 'Fruta dhe perime' 'Drithëra integrale' 'Proteina pa dhjamë']"
Hipertensioni, "['Dieta DASH' 'Ushqime me pak natrium' 'Fruta dhe perime' 'Drithëra integrale' 'Proteina te papastërta']"
Migrena, "['Dietë migrenë' 'Dietë me tiramina të ulët' 'Tërheqje nga kafeina' 'Hidratim' 'Ushqime të pasura me magnez']"
Spondiloza e qafës së mitrës, "['Dietë për artritin' 'Dietë anti-inflamatore' 'Ushqime të pasura me omega-3' 'Fruta dhe perime' 'Drithëra integrale']"
Paraliza (hemorragjia e trurit), "['Dietë e shëndetshme për zemrën' 'Ushqime me përmbajtje të ulët natriumi' 'Fruta dhe perime' 'Drura integrale' 'Proteina te papastërta']"
Verdhëza, "['Dietë e shëndetshme për mëlçinë' 'Dietë me pak yndyrë' 'Fruta dhe perime' 'Drura integrale' 'Proteina të ligëta']"
Malaria, "['Dietë e malaries' 'Hidratim' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Solucione për ri-hidratimin oral']"
Lija e dhenve, "['Dietë per lini e dheneve' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Hidratim' 'Ushqime të pasura me proteina']"
Dengue, "['Dietë denge' 'Hidratim' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Ushqime të pasura me proteina']"
Tifoja, "['Dietë tifoide' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Hidratim' 'Ushqime të pasura me proteina']"
Hepatiti A, "['Dietë per hepatit A' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Hidratim' 'Ushqime të pasura me proteina']"
Hepatiti B, "['Dietë per hepatit B' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Hidratim' 'Ushqime të pasura me proteina']"
Hepatiti C, "['Dietë per hepatit C' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Hidratim' 'Ushqime të pasura me proteina']"
Hepatiti D, "['Dietë per hepatit D' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Hidratim' 'Ushqime të pasura me proteina']"
Hepatiti E, "['Dietë e Hepatitit E' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Hidratim' 'Ushqime të pasura me proteina']"
Hepatiti alkoolik, "['Dietë e shëndetshme për mëlçinë' 'Dietë me pak yndyrë' 'Fruta dhe perime' 'Drura integrale' 'Proteina të ligëta']"
Tuberkulozi, "['Dietë TB' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Hidratim' 'Ushqime të pasura me proteina']"
Ftohja e zakonshme, "['Dietë e ftohtë' 'Hidratim' 'Lëngjet e ngrohta' 'Pushim' 'Çaj me mjaltë dhe limon']"
Pneumonia, "['Dietë me pneumoni' 'Dietë me kalori të lartë' 'Ushqime të buta dhe të buta' 'Hidratim' 'Ushqime të pasura me proteina']"
Hemorroidet dimorfike (grumbullat), "['Dietë me hemorroide' 'Dietë me fibra të larta' 'Hidratim' 'Banjë të ngrohta' 'Zbutës të jashtëqitjes']"
Sulmi në zemër, "['Dietë e shëndetshme për zemrën' 'Ushqime me nivel të ulët natriumi' 'Fruta dhe perime' 'Drura të plota' 'Proteina të ligëta']"
Venat me variçe, "['Dietë për venat me variçe' 'Dietë me fibra të larta' 'Fruta dhe perime' 'Drithëra integrale' 'Ushqime me pak natrium']"
Hipotireoza, "['Dietë për hipotiroidizëm' 'Ushqime të pasura me jod' 'Ushqime të pasura me selenium' 'Fruta dhe perime' 'Drura integrale']"
Hipertiroidizmi, "['Dietë për Hipertiroidizmi' 'Dietë me pak jod' 'Ushqime të pasura me kalcium' 'Ushqime të pasura me selenium' 'Fruta dhe perime']"
Hipoglicemia, "['Dietë e hipoglicemisë' 'Karbohidratet komplekse' 'Snacke të pasura me proteina' 'Ushqime të pasura me fibra' 'Yndyrna të shëndetshme']"
Osteoartrozë, "['Dietë për artritin' 'Dietë anti-inflamatore' 'Ushqime të pasura me omega-3' 'Fruta dhe perime' 'Drithëra integrale']"
Artriti, "['Dietë për artritin' 'Dietë anti-inflamatore' 'Ushqime të pasura me omega-3' 'Fruta dhe perime' 'Drithëra integrale']"
(vertigo) Vertigo Pozicionale Paroymsal, "['Dietë Vertigo' 'Dietë me pak kripë' 'Hidratim' 'Çaj xhenxhefil' 'Ushqime të pasura me vitaminë D']"
Aknet, "['Dietë me akne' 'Dietë me gliceminë të ulët' 'Hidratim' 'Fruta dhe perime' 'Drithëra integrale']"
Infeksioni i traktit urinar,"['DietëUTI''Hidratim''Lëngboronicë''Probiotikë''UshqimetëpasuramevitaminëC']"
Psoriasis,"['Dietëpërpsoriazë''Dietëanti-inflamatore''Ushqimetëpasurameomega-3''Frutadheperime''Ditraintegrale']"
Impetigo,"['DietaImpetigo''Trajtimmeantibiotikë''Frutadheperime''Hidratim''Ushqimetëpasurameproteina']"