Sëmundje,mjekim
Infeksion mykotik, "['Krem antifungal' 'Flukonazol' 'Terbinafine' 'Clotrimazole' 'Ketokonazol']"
Alergji, ['Antihistamines' 'Dekongestantët' 'Epinefrinë' 'Kortikosteroide' 'Imunoterapi']
GERD,['Inhibitorët e pompës protonike (PPI)' 'Bllokuesit H2' 'Antacidet' 'Prokinetika' 'Antibiotikët']
Kolestaza kronike, ['Acidi ursodeoksikolik' 'Kolestiramina' 'Metotreksat' 'Kortikosteroidet' 'Transplantimi i mëlçisë']
Reagim i drogës, ['Antihistamine' 'Epinefrinë' 'Kortikosteroide' 'Antibiotikë' 'Krem antifungal']
Sëmundja e ulçerës peptike,['Antibiotikët' 'Inhibitorët e pompës së protonit (PPI)' 'Bllokuesit H2' 'Antacidet' 'Agjentët citoprotektivë']
SIDA, ['Barna antiretrovirale' 'Inhibitorët e proteazës' 'Inhibitorët e Integrazës' 'Inhibitorët e hyrjes' 'Inhibitorët e shkrirjes']
Diabeti, ['Insulina' 'Metformina' 'Sulfonilureat' 'Inhibitorët DPP-4' 'Agonistë të receptorit GLP-1']
Gastroenteriti, ['Antibiotikët' 'Barnat antiemetike' 'Barnat antidiarreale' 'Lëngjet IV' 'Probiotikët']
Astma bronkiale, ['Bronkodilatatorët' 'Kortikosteroidet e thithura' 'Modifikuesit e leukotrienit' 'Stabilizuesit e qelizave mast' 'Antikolinergjikët']
Hipertensioni, ['Ilaçet antihipertensive' 'Diuretikët' 'Beta-bllokuesit' 'Inhibitorët ACE' 'Bllokuesit e kanalit të kalciumit']
Migrena, ['Analgjezikët' 'Triptanët' 'Derivatet e Ergotaminës' 'Mjekimet parandaluese' 'Biofeedback']
Spondiloza e qafës së mitrës,['Lehtësues dhimbjesh' 'Relaksues muskulor' 'Terapia fizike' 'Kurteza të qafës' 'Kortikosteroidet']
Paraliza (hemorragjiaetrurit), ['Holues gjaku' 'Ilaçe për tretjen e mpiksjes' 'Antikonvulsantët' 'Terapia fizike' 'Terapia profesionale']
Verdhëza,['Lëngjet IV' 'Transfuzionet e gjakut' 'Transplantimi i mëlçisë' 'Ilaçet për kruarjen' 'Ilaçet antivirale']
Malaria,['Barna antimalariale' 'Antipiretikë' 'Barna antiemetike' 'Lëngje IV' 'Transfuzionet e gjakut']
Lija e dhenve, ['Barna antivirale' 'Lehtësuesit e dhimbjeve' 'Lëngjet IV' 'Transfuzionet e gjakut' 'Transfuzionet e trombociteve']
Dengue, ['Antibiotikë' 'Antipiretikë' 'Analgjezik' 'Lëngje IV' 'Kortikosteroide']
Tifoja,['Vaksinimi' 'Barnat antivirale' 'Lëngjet IV' 'Transfuzionet e gjakut' 'Transplantimi i mëlçisë']
Hepatiti A, ['Vaksinimi' 'Barnat antivirale' 'Lëngjet IV' 'Transfuzionet e gjakut' 'Transplantimi i mëlçisë']
Hepatiti B,['Barna antivirale' 'Lëngje IV' 'Transfuzionet e gjakut' 'Transfuzionet e trombociteve' 'Transplanti i mëlçisë']
Hepatiti C,['Barna antivirale' 'Lëngje IV' 'Transfuzionet e gjakut' 'Transfuzionet e trombociteve' 'Transplanti i mëlçisë']
Hepatiti D,['Barna antivirale' 'Lëngje IV' 'Transfuzionet e gjakut' 'Transfuzionet e trombociteve' 'Transplanti i mëlçisë']
Hepatiti E,['Ndërprerja e alkoolit' 'Kortikosteroidet' 'Lëngjet IV' 'Transplantimi i mëlçisë' 'Mbështetja ushqyese']
Hepatiti alkoolik , ['Antibiotikët' 'Isoniazid' 'Rifampin' 'Ethambutol' 'Pirazinamide']
Tuberkulozi, ['Antipiretikë' 'Dekongestantë' 'Supresues të kollës' 'Antihistamine' 'Lehtësues të dhimbjeve']
Ftohja e zakonshme, ['Antibiotikët' 'Barnat antivirale' 'Barnat antifungale' 'Lëngjet IV' 'Terapia me oksigjen']
Pneumonia,['Laksativë' 'Lehtësues kundër dhimbjeve' 'Banja të ngrohta' 'kompresata të ftohta' 'diet me shumë fibra']
Hemorroidetdimorfike (grumbullat), ['Nitroglicerina' 'Aspirinë' 'Beta-bllokuesit' 'Bllokuesit e kanaleve të kalciumit' 'Barnat trombolitike']
Sulmi në zemër, ['Çorape me kompresion' 'Ushtrime' 'Ngritja e këmbëve' 'Skleroterapi' 'Trajtime me lazer']
Venat me variçe, ['Levotiroksina' 'Ilaçet antitiroide' 'Beta-bllokuesit' 'Jod radioaktiv' 'Kirurgjia e tiroides']
Hipotireoza, ['Ilaçet antitiroide' 'Jod radioaktiv' 'Kirurgjia e tiroides' 'Beta-bllokuesit' 'Kortikosteroidet']
Hipertiroidizmi,['Tableta glukoze' 'Kamele ose lëng' 'Injeksion glukagoni' 'Dekstrozë IV' 'Diazoksid']
Hipoglicemia, ['Dhimbje re mëlçisë' 'Ushtrimi' 'Paketat e nxehta dhe të ftohta' 'Mbrojtja e kyçeve' 'Terapia fizike']
Osteoartrozë, ['NSSIDA' 'Barnat antireumatike modifikuese të sëmundjes (DMARDs)' 'Biologjike' 'Kortikosteroidet' 'Kirurgjia e zëvendësimit të kyçeve']
Artriti, ['Rehabilitimi vestibular' 'Ripozicionimi i kanalit' 'Ilaçet për të përzierat' 'Kirurgjia' 'Ushtrimet në shtëpi']
(vertigo) VertigoPozicionaleParoymsal, ['Trajtime Topike' 'Antibiotikë' 'Medikamente orale' 'Trajtime hormonale' 'Izotretininë']
Aknet, ['Antibiotikët' 'Lehtësuesit e dhimbjeve' 'Antihistaminet' 'Kortikosteroidet' 'Trajtimet aktuale']
Infeksioni i traktit urinar, ['Antibiotikët' 'Analgjezikët urinar' 'Phenazopiridina' 'Antispasmodikët' 'Probiotikët']
Psoriasis, ['Trajtimet topikale' 'Fototerapi' 'Mjekime sistemike' 'Biologjike' 'Katrani i qymyrit']
Impetigo,['Antibiotikë topikalë' 'Antibiotikë oralë' 'Antiseptikë' 'Pomada' 'Kompresa të ngrohta']